CASE	FILES	SENT_ID	LEFT	NODE	RIGHT	NODE_SENTENCES	WORD_CLASS	USE	SYN_FUNC_NODE	PATTERN	MP	LU_POST	BODY_PART	LU	LU_GLOSS	LU_POS	NEGATION	METONYMY	SFRAME	SFRAME_URL	SFRAME_RELATED	SFRAME_RELATED_URL	SFRAME_RELATED_LINK	ROLEMAPPING_TD_IN_SFRAME	CM_ROLEMAPPING	CM_BROADER	MAP1	MAP2	MAP3	MAP4	NOTES
3668	ind-id_web_2015_3M	2199102	Rp. 39.000,- (Price List/Belum Diskon) Kita tidak bisa menarik tawa yang telah berderai, maupun membendung	kemarahan	yang terlanjur meluap.	Rp. 39.000,- (Price List/Belum Diskon) Kita tidak bisa menarik tawa yang telah berderai, maupun membendung <m>kemarahan</m> yang terlanjur meluap.	NA	metaphor		node yang terlanjur <w>meluap</w>	node <w>meluap</w>	r1		<w>meluap</w>					heating fluid	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Heating_fluid	fluid containment	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Fluid_containment	makes use of	heated-fluid	anger is heated fluid in a container	anger is (heated) fluid in a container	anger_(heated-)fluid	anger-level_fluid-heat-level	high intensity of anger is heated fluid in container		
497	ind_newscrawl_2016_1M	28086	~	Amarah	korban yang mengalami darah tinggi memang kerap meluap.	<m>Amarah</m> korban yang mengalami darah tinggi memang kerap meluap.	NA	metaphor		node <w>meluap</w>	node <w>meluap</w>	R1		<w>meluap</w>					heating fluid	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Heating_fluid	fluid containment	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Fluid_containment	makes use of	heated-fluid	anger is heated fluid in a container	anger is (heated) fluid in a container	anger_(heated-)fluid	anger-level_fluid-heat-level	high intensity of anger is heated fluid in container		
11931	ind-id_web_2015_3M	493098	Dalam keadaan	marah	, Brigida pun meninggalkan rumah Nyonya Julia.	Dalam keadaan <m>marah</m>, Brigida pun meninggalkan rumah Nyonya Julia.	adjective	metaphor	modifier	AGT VERB <w>dalam</w> keadaan_node		l1		<w>dalam</w>	"in; inside"	prepo			being in a bounded region	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_in_a_Bounded_Region	being at a location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_at_a_location	subcase-of	current-location	anger is container	anger is container	anger_current-location	experiencer_located-thing			
1228	ind_mixed_2012_1M	441374	Saat seseorang dalam keadaan	marah	, perbuatannya akan menjadi perbuatan syaitani -merusak dan merusak diri sendiri.	Saat seseorang dalam keadaan <m>marah</m>, perbuatannya akan menjadi perbuatan syaitani -merusak dan merusak diri sendiri.	adjective	metaphor	modifier	EXP <w>dalam</w> keadaan_node		l1		<w>dalam</w>	"in; inside"	prepo			being in a bounded region	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_in_a_Bounded_Region	being at a location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_at_a_location	subcase-of	current-location	anger is container	anger is container	anger_current-location	experiencer_located-thing			
3262	ind-id_web_2015_3M	76661	ÒAda	kemarahan	publik dalam kasus Angeline ini,Ó terang Hotman.	ÒAda <m>kemarahan</m> publik dalam kasus Angeline ini,Ó terang Hotman.	NA	metaphor		node <w>dalam</w> EVENT		r1		<w>dalam</w>		prepo															
378	ind_mixed_2012_1M	692610	~	Kemarahan	dapat timbul dalam dirinya yang berpikir terhadap seorang musuh.	<m>Kemarahan</m> dapat timbul dalam dirinya yang berpikir terhadap seorang musuh.	NA	metaphor		node <w>dalam</w> BRP		r2	diri	<w>dalam</w>		prepo															
2514	ind_web_2012_1M	409192	~	Kemarahan	dalam mimpi bisa hadir karena adanya suatu permasalah atau pertengkaran dengan seseorang.	<m>Kemarahan</m> dalam mimpi bisa hadir karena adanya suatu permasalah atau pertengkaran dengan seseorang.	NA	metaphor		node <w>dalam</w> EVENT		r1		<w>dalam</w>		prepo															
1861	ind_newscrawl_2015_300K	175011	Meski pun begitu, ia menyatakan tidak ada	kemarahan	dan kebencian dalam sikap politiknya.	Meski pun begitu, ia menyatakan tidak ada <m>kemarahan</m> dan kebencian dalam sikap politiknya.	NA	metaphor		node <w>dalam</w> STATE		r1		<w>dalam</w>		prepo															
3261	ind-id_web_2015_3M	76660	Ada	kemarahan	dan kebencian dalam diri Bakha terhadap para pendeta yang dengan ÒkesucianÓ status mereka, melakukan pelecehan seksual terhadap adik Bakha, Sohini.	Ada <m>kemarahan</m> dan kebencian dalam diri Bakha terhadap para pendeta yang dengan ÒkesucianÓ status mereka, melakukan pelecehan seksual terhadap adik Bakha, Sohini.	NA	metaphor		node <w>dalam</w> BRP		r1	diri	<w>dalam</w>		prepo															
2641	ind_web_2012_1M	728402	Tapi dia akan mencoba mengacaukan, misalnya dengan mengobar-ngobarkan konflik atau	kemarahan	dalam hati kita, sehingga kita tidak mudah menyelesaikan pertikaian kita.	Tapi dia akan mencoba mengacaukan, misalnya dengan mengobar-ngobarkan konflik atau <m>kemarahan</m> dalam hati kita, sehingga kita tidak mudah menyelesaikan pertikaian kita.	NA	metaphor		node <w>dalam</w> BRP		r1	hati	<w>dalam</w>		prepo															
1808	ind_newscrawl_2012_1M	931252	O ananda, walaupun dalam	kemarahan	ananda tidak akan pernah membunuhnya.	O ananda, walaupun dalam <m>kemarahan</m> ananda tidak akan pernah membunuhnya.	NA	metaphor		AGT VERB <w>dalam</w> node		l1		<w>dalam</w>		prepo															
3444	ind-id_web_2015_3M	1217271	ÔÕKarena dalam	kemarahan	pun dia cantik sekali,Ó kata temanku yang preman kelas itu gembira setengah mati.	ÔÕKarena dalam <m>kemarahan</m> pun dia cantik sekali,Ó kata temanku yang preman kelas itu gembira setengah mati.	NA	metaphor		EXP <w>dalam</w> node		l1		<w>dalam</w>		prepo															
3170	ind-id_web_2013_1M	458568	ÒKetika kamu mengatakan sesuatu dalam	kemarahan	.	ÒKetika kamu mengatakan sesuatu dalam <m>kemarahan</m>.	NA	metaphor		AGT VERB <w>dalam</w> node		l1		<w>dalam</w>		prepo															
2227	ind_web_2011_300K	168329	Tetapi, tindakan yang kita ambil dalam	kemarahan	akan menghantui kita selamanya.	Tetapi, tindakan yang kita ambil dalam <m>kemarahan</m> akan menghantui kita selamanya.	NA	metaphor		AGT VERB <w>dalam</w> node		l1		<w>dalam</w>		prepo															
3115	ind-id_web_2013_1M	293298	Hal itu membuat hati mereka pahit kepada Tuhan dan dalam	kemarahan	mereka berkata: ÒMulai sekarang kami berdua tidak mau melayani Allah lagi.	Hal itu membuat hati mereka pahit kepada Tuhan dan dalam <m>kemarahan</m> mereka berkata: ÒMulai sekarang kami berdua tidak mau melayani Allah lagi.	NA	metaphor		AGT VERB <w>dalam</w> node		l1		<w>dalam</w>		prepo															
3702	ind-id_web_2015_3M	2416075	Sekiranya dalam	kemarahan	ini ia masih maumenasehati, menyadarkan dan menginsafkanmu maka dial ah sahabat yang dicari.	Sekiranya dalam <m>kemarahan</m> ini ia masih maumenasehati, menyadarkan dan menginsafkanmu maka dial ah sahabat yang dicari.	NA	metaphor		AGT VERB <w>dalam</w> node		l1		<w>dalam</w>		prepo															
3088	ind-id_web_2013_1M	164339	Dalam	kemarahan	yang memuncak tidak jarang keluar dari mulut CEO instruksi untuk membuat lagi perencanaan dan kali ini harus di kantor, di ruang rapat yang biasa digunakan!	Dalam <m>kemarahan</m> yang memuncak tidak jarang keluar dari mulut CEO instruksi untuk membuat lagi perencanaan dan kali ini harus di kantor, di ruang rapat yang biasa digunakan!	NA	metaphor		<w>dalam</w> node		l1		<w>dalam</w>		prepo															
1859	ind_newscrawl_2015_300K	156103	Masalah ini berkembang menjadi ketidakpercayaan dan	kemarahan	dalam pernikahan.	Masalah ini berkembang menjadi ketidakpercayaan dan <m>kemarahan</m> dalam pernikahan.	NA	metaphor		node <w>dalam</w> STATE		r1		<w>dalam</w>		prepo															
3224	ind-id_web_2013_1M	889470	Sungguh Rasulullaah SAW telah memilih amal terbaik dari sahabat ini sebagai dasar pertimbangan untuk meredam gejolak	kemarahan	dalam hati `Umar dan para sahabat.	Sungguh Rasulullaah SAW telah memilih amal terbaik dari sahabat ini sebagai dasar pertimbangan untuk meredam gejolak <m>kemarahan</m> dalam hati `Umar dan para sahabat.	NA	metaphor		node <w>dalam</w> BRP		r1	hati	<w>dalam</w>		prepo															
2059	ind_newscrawl_2016_1M	938795	Tewasnya 49 orang di sebuah klub kelompok gay di Orlando, Minggu (12/6) lalu telah memicu	kemarahan	dalam pemilu tahun ini.	Tewasnya 49 orang di sebuah klub kelompok gay di Orlando, Minggu (12/6) lalu telah memicu <m>kemarahan</m> dalam pemilu tahun ini.	NA	metaphor		node <w>dalam</w> EVENT		r1		<w>dalam</w>		prepo															
1376	ind_newscrawl_2011_1M	677183	ÔOverÕ tingginya suhu tensi	kemarahan	dalam diri setiap jenglot dapat dimaklumi dari asal-usul penciptaannya, yaitu api.	ÔOverÕ tingginya suhu tensi <m>kemarahan</m> dalam diri setiap jenglot dapat dimaklumi dari asal-usul penciptaannya, yaitu api.	NA	metaphor		node <w>dalam</w> BRP		r1	diri	<w>dalam</w>		prepo															
2791	ind_wikipedia_2016_1M	202323	Di ibukota, ia melihat kehidupan keluarga kekaisaran dan pejabat yang hedonis tanpa memedulikan penderitaan rakyat sehingga timbul	kemarahan	dalam hatinya, ia mulai kehilangan kepercayaanya terhadap pemerintah.	Di ibukota, ia melihat kehidupan keluarga kekaisaran dan pejabat yang hedonis tanpa memedulikan penderitaan rakyat sehingga timbul <m>kemarahan</m> dalam hatinya, ia mulai kehilangan kepercayaanya terhadap pemerintah.	NA	metaphor		node <w>dalam</w> BRP		r1	hati	<w>dalam</w>		prepo															
1067	ind-id_web_2015_3M	929140	ÒHilangkan	amarah	, rasa angkuh dan dendam dalam diri kita.	ÒHilangkan <m>amarah</m>, rasa angkuh dan dendam dalam diri kita.	NA	metaphor		hilangkan node <w>dalam</w> BRP		R1	diri	<w>dalam</w>		prepo															
734	ind_web_2012_1M	650902	~	Amarah	sempat dalam dada, namun akalku menerkam.	<m>Amarah</m> sempat dalam dada, namun akalku menerkam.	NA	metaphor		node <w>dalam</w> BRP		R1	dada	<w>dalam</w>		prepo															
525	ind_newscrawl_2016_1M	343033	Jika amarah tersebut tak tersalurkan atau ternetralisasi dengan permintaan maaf atau jiwa besar mengikhlaskan, yang akan terjadi selanjutnya adalah	amarah	itu mengendap dan semakin mengeras dalam batinnya.	Jika amarah tersebut tak tersalurkan atau ternetralisasi dengan permintaan maaf atau jiwa besar mengikhlaskan, yang akan terjadi selanjutnya adalah <m>amarah</m> itu mengendap dan semakin mengeras dalam batinnya.	NA	metaphor		node <w>dalam</w> BRP		R3	batin	<w>dalam</w>		prepo															
84	ind_mixed_2012_1M	425606	Seandainya tak ada manfaat dalam	amarah	, tentu ia tak akan pernah ada.	Seandainya tak ada manfaat dalam <m>amarah</m>, tentu ia tak akan pernah ada.	NA	metaphor		X <w>dalam</w> node		L1		<w>dalam</w>		prepo															
211	ind_news_2009_300K	33776	"""Sikap curiga yang berlebihan disertai tindakan main tuding, apalagi dalam"	amarah	"dan kurangnya jiwa sportifitas bukanlah karakter kehidupan demokrasi yang kita tuju,"" ujarnya."	"""Sikap curiga yang berlebihan disertai tindakan main tuding, apalagi dalam <m>amarah</m> dan kurangnya jiwa sportifitas bukanlah karakter kehidupan demokrasi yang kita tuju,"" ujarnya."	NA	metaphor		X <w>dalam</w> node		L1		<w>dalam</w>		prepo															
906	ind-id_web_2013_1M	160592	Dalam	amarah	sesuatu yang baik bisa saja kelihatan buruk, suatu yang putih bisa saja kelihatan abu-abu atau bahkan hitam.	Dalam <m>amarah</m> sesuatu yang baik bisa saja kelihatan buruk, suatu yang putih bisa saja kelihatan abu-abu atau bahkan hitam.	NA	metaphor		<w>dalam</w> node		L1		<w>dalam</w>		prepo															
506	ind_newscrawl_2016_1M	120860	Dalam	amarah	merasa ditipu, dia kirimkan kumpulan puisi yang ditinggalkan Joshua sebelum pulang ke Beaver Falls, mengirimkannya ke suatu ajang lomba.	Dalam <m>amarah</m> merasa ditipu, dia kirimkan kumpulan puisi yang ditinggalkan Joshua sebelum pulang ke Beaver Falls, mengirimkannya ke suatu ajang lomba.	NA	metaphor		<w>dalam</w> node		L1		<w>dalam</w>		prepo															
765	ind_web_2012_1M	812940	Sebulan lamanya kita menjalankan ibadah puasa, menahan dahaga (lapar dan haus) serta menahan hawa nafsu dan	amarah	dalam diri kita.	Sebulan lamanya kita menjalankan ibadah puasa, menahan dahaga (lapar dan haus) serta menahan hawa nafsu dan <m>amarah</m> dalam diri kita.	NA	metaphor		node <w>dalam</w> BRP		R1	diri	<w>dalam</w>		prepo															
407	ind_newscrawl_2012_1M	203352	Rasa kasihan,	amarah	dan takut kehilangan tempat bernaung berkecamuk dalam pikiran perempuan yang hanya mengenyam bangku sekolah hingga kelas 4 SD itu.	Rasa kasihan, <m>amarah</m> dan takut kehilangan tempat bernaung berkecamuk dalam pikiran perempuan yang hanya mengenyam bangku sekolah hingga kelas 4 SD itu.	NA	metaphor		node <w>dalam</w> BRP		r2	pikiran	<w>dalam</w>		prepo															
521	ind_newscrawl_2016_1M	291566	ID, NEW YORK -- Ungkapan lama menyuruh untuk tidak tidur dalam keadaan	amarah	.	ID, NEW YORK -- Ungkapan lama menyuruh untuk tidak tidur dalam keadaan <m>amarah</m>.	NA	metaphor		VERB <w>dalam</w> keadaan node		l1		<w>dalam</w>		prepo															
264	ind_news_2011_300K	178112	Tindakan itu juga tidak mampu membendung massa yang sudah dalam kondisi	amarah	.	Tindakan itu juga tidak mampu membendung massa yang sudah dalam kondisi <m>amarah</m>.	NA	metaphor		EXP yang <w>dalam</w> kondisi_node		l1		<w>dalam</w>		prepo															
836	ind_wikipedia_2016_1M	486212	Lelaki itu tertawa, dengan sedikit nada	amarah	dalam tawanya, tapi tanpa rasa kemenangan.	Lelaki itu tertawa, dengan sedikit nada <m>amarah</m> dalam tawanya, tapi tanpa rasa kemenangan.	NA	metaphor		node <w>dalam</w> UTTR		r1		<w>dalam</w>		prepo															
130	ind_mixed_2012_1M	644240	Kemarahan ku pada saat itu sungguh tak wajar, aku mengambarkannya sebagai	amarah	dalam kesedihan mendalam.	Kemarahan ku pada saat itu sungguh tak wajar, aku mengambarkannya sebagai <m>amarah</m> dalam kesedihan mendalam.	NA	metaphor		node <w>dalam</w> EMO		r1		<w>dalam</w>		prepo															
1054	ind-id_web_2015_3M	862770	Hal ini memang memerlukan kesabaran dan sikap rendah hati dari anda, tetapi dampaknya akan sangat bermanfaat sebab ketika tidak timbul	amarah	dalam diri anda maka situasi yang ada pasti dapat dikendalikan.	Hal ini memang memerlukan kesabaran dan sikap rendah hati dari anda, tetapi dampaknya akan sangat bermanfaat sebab ketika tidak timbul <m>amarah</m> dalam diri anda maka situasi yang ada pasti dapat dikendalikan.	NA	metaphor		node <w>dalam</w> BRP		r1	diri	<w>dalam</w>		prepo															
5935	ind_newscrawl_2012_1M	891585	Perasaan kesal,	marah	dari si anak pun diakui oleh Mardiati tidak pernah terjadi.	Perasaan kesal, <m>marah</m> dari si anak pun diakui oleh Mardiati tidak pernah terjadi.	noun	metaphor	head_noun	node <w>dari</w> EXP		r1		<w>dari</w>	from	prepo			being at a location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_at_a_location	location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Location	perspective-on	entity	anger is physical entity	anger is located entity	anger_entity	experiencer_current-location			
11459	ind-id_web_2013_1M	847875	Sepengetahuannya, Ningsih bercerita bahwa ia khawatir akan mendapat	marah	dari orangtuanya.	Sepengetahuannya, Ningsih bercerita bahwa ia khawatir akan mendapat <m>marah</m> dari orangtuanya.	noun	metaphor	complement	node <w>dari</w> EXP		r1		<w>dari</w>	from	prepo			being at a location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Being_at_a_location	location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Location	perspective-on	entity	anger is physical entity	anger is located entity	anger_entity	experiencer_current-location			
3392	ind-id_web_2015_3M	871708	Hal ini tinggal bagaimana Anda menyeimbangkan kesedihan dan	kemarahan	dari patah hati Anda untuk berhadapan dengan situasi dan berinteraksi dengan orang-orang.	Hal ini tinggal bagaimana Anda menyeimbangkan kesedihan dan <m>kemarahan</m> dari patah hati Anda untuk berhadapan dengan situasi dan berinteraksi dengan orang-orang.	NA	metaphor		node <w>dari</w> EMO		r1		<w>dari</w>		prepo															
1661	ind_newscrawl_2012_1M	499943	Hameed mengatakan ledakan tersebut menyebabkan kepanikan dan	kemarahan	dari peserta pawai, dan kerusuhan pun terjadi.	Hameed mengatakan ledakan tersebut menyebabkan kepanikan dan <m>kemarahan</m> dari peserta pawai, dan kerusuhan pun terjadi.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
2356	ind_web_2012_1M	6549	""" Ia berkata: ""Sungguh sudah pasti kamu akan ditimpa azab dan"	kemarahan	"dari Tuhanmu""."	""" Ia berkata: ""Sungguh sudah pasti kamu akan ditimpa azab dan <m>kemarahan</m> dari Tuhanmu""."	NA	metaphor		node <w>dari</w> SOURCE		r1		<w>dari</w>		prepo															
729	ind_news_2009_300K	94432	""" Kalimat-kalimat angkara itu menunjukkan frustasi dan"	kemarahan	dari mereka yang bertahun-tahun mempercayakan pengelolaan dananya kepada Madoff, dari yang hidup sederhana sampai orang kaya raya.	""" Kalimat-kalimat angkara itu menunjukkan frustasi dan <m>kemarahan</m> dari mereka yang bertahun-tahun mempercayakan pengelolaan dananya kepada Madoff, dari yang hidup sederhana sampai orang kaya raya."	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1024	ind_news_2011_300K	147256	Anggota Komisi III DPR RI ini mengemukakan, masyarakat saat ini tidak melihat adanya makna strategis bagi rakyat dan negara dari wacana perombakan kabinet, tapi hanya ekses dari	kemarahan	dari partai politik tertentu.	Anggota Komisi III DPR RI ini mengemukakan, masyarakat saat ini tidak melihat adanya makna strategis bagi rakyat dan negara dari wacana perombakan kabinet, tapi hanya ekses dari <m>kemarahan</m> dari partai politik tertentu.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
245	ind_mixed_2012_1M	424402	Akibatnya timbullah kemarahan pada sebagian kepala adat, dan dari	kemarahan	itu selanjutnya beralih kepada tuduhan kepada Kahar Mudzakkar yang mana telah menghasut terhadap kepala-kepala.	Akibatnya timbullah kemarahan pada sebagian kepala adat, dan dari <m>kemarahan</m> itu selanjutnya beralih kepada tuduhan kepada Kahar Mudzakkar yang mana telah menghasut terhadap kepala-kepala.	NA	metaphor		<w>dari</w> node		l1		<w>dari</w>		prepo															
2676	ind_web_2012_1M	858432	Tatkala dimarahi orang, saya paksa diri sendiri untuk menemukan hal lucu dari	kemarahan	tadi.	Tatkala dimarahi orang, saya paksa diri sendiri untuk menemukan hal lucu dari <m>kemarahan</m> tadi.	NA	metaphor		AGT VERB <w>dari</w> node		l1		<w>dari</w>		prepo															
2459	ind_web_2012_1M	295538	Kita tidak boleh marah karena keinginan kita supaya ditakuti orang lain atau karena ingin memperoleh kewibawaan dari	kemarahan	tersebut.	Kita tidak boleh marah karena keinginan kita supaya ditakuti orang lain atau karena ingin memperoleh kewibawaan dari <m>kemarahan</m> tersebut.	NA	metaphor		AGT VERB <w>dari</w> node		l1		<w>dari</w>		prepo															
260	ind_mixed_2012_1M	456038	Dikatakan bahwa di zaman dahulu hutan-hutan yang bernama Dandaka, Kalinga, Mejjha dan Matanga, menjadi hutan-hutan karena	kemarahan	dari beberapa orang petapa-petapa kuno ( Pubbaka isayo ).	Dikatakan bahwa di zaman dahulu hutan-hutan yang bernama Dandaka, Kalinga, Mejjha dan Matanga, menjadi hutan-hutan karena <m>kemarahan</m> dari beberapa orang petapa-petapa kuno ( Pubbaka isayo ).	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
2826	ind_wikipedia_2016_1M	284980	Hal ini menyebabkan ledakan	kemarahan	dari netizens, termasuk tuntutan agar dia dipaksa keluar dari negeri serta permohonan bunuh diri yang diperoleh sampai 3.000 tanda tangan sebelum ditutup.	Hal ini menyebabkan ledakan <m>kemarahan</m> dari netizens, termasuk tuntutan agar dia dipaksa keluar dari negeri serta permohonan bunuh diri yang diperoleh sampai 3.000 tanda tangan sebelum ditutup.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1483	ind_newscrawl_2012_1M	5226	Usaha tersebut memancing	kemarahan	dari pemain Nordsjaelland, mendapat ejekan serta siulan dari pendukung tuan rumah.	Usaha tersebut memancing <m>kemarahan</m> dari pemain Nordsjaelland, mendapat ejekan serta siulan dari pendukung tuan rumah.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1918	ind_newscrawl_2016_1M	193696	Dilarangnya trayek Samrat Coco melintasi jalur sebelum-nya, menimbulkan	kemarahan	dari sejumlah sopir angkot trayek tersebut.	Dilarangnya trayek Samrat Coco melintasi jalur sebelum-nya, menimbulkan <m>kemarahan</m> dari sejumlah sopir angkot trayek tersebut.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1596	ind_newscrawl_2012_1M	283443	Pernyataan ini menimbulkan	kemarahan	dan reaksi keras dari pihak Istana Kepresidenan.	Pernyataan ini menimbulkan <m>kemarahan</m> dan reaksi keras dari pihak Istana Kepresidenan.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1238	ind_newscrawl_2011_1M	247592	Ia mengungkapkan, insiden penganiayaan tersebut telah membuat citra PD tercoreng dan menimbulkan	kemarahan	dari semua pihak, dan berharap kejadian tersebut tidak akan pernah terjadi lagi.	Ia mengungkapkan, insiden penganiayaan tersebut telah membuat citra PD tercoreng dan menimbulkan <m>kemarahan</m> dari semua pihak, dan berharap kejadian tersebut tidak akan pernah terjadi lagi.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1099	ind_news_2012_300K	93390	Hal ini menimbulkan	kemarahan	dari pihak Syuni dan menyerang dengan membakar rumah kelompok Syiah.	Hal ini menimbulkan <m>kemarahan</m> dari pihak Syuni dan menyerang dengan membakar rumah kelompok Syiah.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1312	ind_newscrawl_2011_1M	450443	Manoj Kecewa Dengan Adegannya dalam Om Shanti Om Film Shahrukh Khan, Om Shanti Om, tak hanya meraih sukses, tetapi juga menuai	kemarahan	dari pihak aktor veteran Manoj Kumar.	Manoj Kecewa Dengan Adegannya dalam Om Shanti Om Film Shahrukh Khan, Om Shanti Om, tak hanya meraih sukses, tetapi juga menuai <m>kemarahan</m> dari pihak aktor veteran Manoj Kumar.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
722	ind_news_2009_300K	80746	Namun jika kebijakan ini diubah seluruhnya, dipastikan Najib akan menuai	kemarahan	dari warga Melayu yang menjadi pendukung utama partai Umno yang berkuasa.	Namun jika kebijakan ini diubah seluruhnya, dipastikan Najib akan menuai <m>kemarahan</m> dari warga Melayu yang menjadi pendukung utama partai Umno yang berkuasa.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1087	ind_news_2012_300K	61233	Kegemarannya akan film kartun berbahasa Jepang itu sempat menuai	kemarahan	dari orang tuanya.	Kegemarannya akan film kartun berbahasa Jepang itu sempat menuai <m>kemarahan</m> dari orang tuanya.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1803	ind_newscrawl_2012_1M	919381	Keputusan itu menyulur	kemarahan	dari kubu Barcelona.	Keputusan itu menyulur <m>kemarahan</m> dari kubu Barcelona.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1885	ind_newscrawl_2015_300K	293784	Valcke dan Presiden FIFA Sepp Blatter harus meminta maaf atas pernyataan yang menyulut	kemarahan	dari negara penyelenggara Piala Dunia 2014 tersebut hingga Menteri Olah Raga Brazil Aldo Rebelo mengatakan Valcke tidak akan menjadi juru bicara FIFA lagi.	Valcke dan Presiden FIFA Sepp Blatter harus meminta maaf atas pernyataan yang menyulut <m>kemarahan</m> dari negara penyelenggara Piala Dunia 2014 tersebut hingga Menteri Olah Raga Brazil Aldo Rebelo mengatakan Valcke tidak akan menjadi juru bicara FIFA lagi.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1113	ind_news_2012_300K	129567	Pendapat beberapa media ini pun menyulut	kemarahan	dari rekan setim Jones yang mempersoalkan bagaimana bentuk tubuh ideal dan apa yang media sebut sehat atau gemuk.	Pendapat beberapa media ini pun menyulut <m>kemarahan</m> dari rekan setim Jones yang mempersoalkan bagaimana bentuk tubuh ideal dan apa yang media sebut sehat atau gemuk.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
3194	ind-id_web_2013_1M	638952	Panas	kemarahan	melawan para penguasa dan rezim-rezim mereka mengalir dari dan ke negeri-negeri lain.	Panas <m>kemarahan</m> melawan para penguasa dan rezim-rezim mereka mengalir dari dan ke negeri-negeri lain.	NA	metaphor		node <w>dari</w> LOC		r2		<w>dari</w>		prepo															
1740	ind_newscrawl_2012_1M	727761	Pejabat senior departemen itu menambahkan bahwa ia `sangat menyayangkan interpretasi yang keliru` dari komentar-komentarnya yang telah memicu reaksi	kemarahan	dari negara tuan rumah.	Pejabat senior departemen itu menambahkan bahwa ia `sangat menyayangkan interpretasi yang keliru` dari komentar-komentarnya yang telah memicu reaksi <m>kemarahan</m> dari negara tuan rumah.	NA	metaphor		reaksi_node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
785	ind_news_2009_300K	213895	Tapi hal ini juga menimbulkan reaksi	kemarahan	dari keluarga korban dan dari presiden AS Barack Obama.	Tapi hal ini juga menimbulkan reaksi <m>kemarahan</m> dari keluarga korban dan dari presiden AS Barack Obama.	NA	metaphor		reaksi_node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
554	ind_mixed_2012_1M	991926	Kedua orang ini merasakan tatapan	kemarahan	dari para pria yang belum mereka kenal itu mengarah kepada mereka.	Kedua orang ini merasakan tatapan <m>kemarahan</m> dari para pria yang belum mereka kenal itu mengarah kepada mereka.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
2035	ind_newscrawl_2016_1M	805830	ÒSekarang ini, timbul	kemarahan	dari para pedagang kue karena jualan-nya tak laku.	ÒSekarang ini, timbul <m>kemarahan</m> dari para pedagang kue karena jualan-nya tak laku.	NA	metaphor		node <w>dari</w> EXP		r1		<w>dari</w>		prepo															
1009	ind-id_web_2015_3M	346910	Berbagai jenis permasalahan yang timbul atas kemelut memunculkan ketidak percayaan dan	amarah	dari masyarakat serta menimbulkan agresifitas dan amarah masyarakat.	Berbagai jenis permasalahan yang timbul atas kemelut memunculkan ketidak percayaan dan <m>amarah</m> dari masyarakat serta menimbulkan agresifitas dan amarah masyarakat.	NA	metaphor		node <w>dari</w> EXP		R1		<w>dari</w>		prepo															
1172	ind-id_web_2015_3M	2064506	Pernyataan ÒKamu memiliki gangguan makanÓ atau Òkamu terobsesi dengan makananÓ hanya akan memberikan penyangkalan dan	amarah	dari anak.	Pernyataan ÒKamu memiliki gangguan makanÓ atau Òkamu terobsesi dengan makananÓ hanya akan memberikan penyangkalan dan <m>amarah</m> dari anak.	NA	metaphor		node <w>dari</w> EXP		R1		<w>dari</w>		prepo															
