SEARCH_TERM	LU	CITATIONS	ENGLISH_TRANSLATION	SOURCES	PAGE_LOCATION	LU_GLOSS	SFRAME	CM_BROADER	BODY_PART	MAP_1	MAP_2	MAP_3	RELEVANCE	KBBI_SENSE	ORIGIN	NOTES
anger	meledak	<w>meledak</w>	to explode (of bombs/population/anger)	stevens_and_schmidgall-tellings_2004	568	to explode	pressure in a container	anger is substance in a container		anger_contents/located-entity	intense anger is exploding container		metaphor			
angry	naik spaneng	<w>naik spaneng</w>	"to become angry; lit raising tension/voltage"	stevens_and_schmidgall-tellings_2004	955	tension, voltage	pressure in a container	anger is substance in a container		anger_contents/located-entity	increased intensity is increased pressure and fullness of the substance to the container		metaphor			verticality
angry	berkecil hati	<w>berkecil hati</w>	"be angry; lit to have small liver"	stevens_and_schmidgall-tellings_2004	462	"be angry; lit to have small liver"	size	degree of control for anger is object dimension	hati	anger_entity	narrow dimension of an entity is reduced capability of managing anger		metaphor			
anger	meléngos	<w>meléngos</w>		stevens_and_schmidgall-tellings_2004	576	to turn one's head to the side or away (in contempt/disdain/anger/to avoid seeing s.o.)	metonymy	aggressive visual behaviour for anger					metonymy			
anger	muka berkerut	<w>muka berkerut</w>	showing signs of anger	stevens_and_schmidgall-tellings_2004	645	"to wrinkle/furrow the face; showing signs of anger."	metonymy	aggressive visual behaviour for anger	muka				metonymy			
anger	menyeringai	<w>menyeringai</w>	"to move one's lip in anger; twist into grin"	stevens_and_schmidgall-tellings_2004	923	"to move one's lip in anger; twist into grin"	metonymy	aggressive visual behaviour for anger					metonymy			
angry	memelototkan mata	Marah boléh saja tapi jangan <w>memelototkan mata</w>	It is OK to get angry, but don't stare at me.	stevens_and_schmidgall-tellings_2004	728	"to open (the eyes) wide; to stare"	metonymy	aggressive visual behaviour for anger	mata				metonymy			
anger	panas kuping	<w>panas kuping</w>	"to be angry/resentful; anger; lit. hot ears"	stevens_and_schmidgall-tellings_2004	699	"to be angry/resentful; anger; lit. hot ears"	"metonymy; heat"	body heat for anger	kuping				metonymy			
angry	dingin kepala	<w>dingin kepala</w>	doesn't get angry easily	stevens_and_schmidgall-tellings_2004	245	cool-headed	"metonymy; heat"	body heat for anger	kepala				metonymy			
angry	kegerahan	<w>kegerahan</w>	"get angry; lit suffer from stifling heat (due to threatening rain)"	stevens_and_schmidgall-tellings_2004	316	suffer from stifling heat (due to threatening rain)	"metonymy; heat"	body heat for anger					metonymy			
angry	radang	<w>naik radang</w>	"get very angry, flare up; lit raising feverish"	stevens_and_schmidgall-tellings_2004	795	feverish, hot	"metonymy; heat"	body heat for anger					metonymy			
marah	meradang			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01786906-v&lang=ind&lang2=eng	to become feverish/inflamed	"metonymy; heat"	body heat for anger					metonymy			
marah	meradangkan			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01786906-v&lang=ind&lang2=eng	"feverish; hot; to get very angry at; to make s.o. angry"	"metonymy; heat"	body heat for anger					metonymy			
angry	naik palak	<w>naik palak</w>	get angry	stevens_and_schmidgall-tellings_2004	696	making you feel unable to breathe, because it is too hot and/or there is no fresh air	intense breathing	breathing difficulty for anger					metonymy			
angry	palak	<w>palak</w>	"angry; lit stifling (i.e., making you feel unable to breathe, because it is too hot and/or there is no fresh air)"	stevens_and_schmidgall-tellings_2004	696	making you feel unable to breathe, because it is too hot and/or there is no fresh air	intense breathing	breathing difficulty for anger					metonymy			
marah	telinga tipis	<w>telinga tipis</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	thin ear	size	degree of control for anger is object dimension	telinga	anger_entity	narrow dimension of an entity is reduced capability of managing anger		metaphor			
marah	sempit alam	<w>sempit alam</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	narrow realm/world	size	degree of control for anger is object dimension		anger_entity	narrow dimension of an entity is reduced capability of managing anger		metaphor			
marah	singkat sangu	<w>singkat sangu</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	short provision	size	degree of control for anger is object dimension		anger_entity	less quantity of an entity is reduced capability to manage anger		metaphor			
marah	naik setrum	<w>naik setrum</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	rising electricity	electricity	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
anger	segunung	<t>Dongkol</t>nya <w>segunung</w>	His anger was sky high	stevens_and_schmidgall-tellings_2004	337	as high as a mountain	verticality	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
anger	sirap hati	<w>sirap hati</w>	angry	stevens_and_schmidgall-tellings_2004	944	slightly lifted	verticality	intensity of anger is verticality	hati	anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
anger	menyirapkan	<w>menyirapkan</w>	to provoke/rouse/stir up anger/rage	stevens_and_schmidgall-tellings_2004	944	to lift slightly	verticality	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
angry	nyolot	<w>nyolot</w>	"angry; lit to leap; jump up"	stevens_and_schmidgall-tellings_2004	208	"angry; lit to leap; jump up"	verticality	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
angry	naik marah	<w>naik</w> <t>marah</t>	"to become angry; lit raising anger"	stevens_and_schmidgall-tellings_2004	653	raising anger	verticality	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
angry	darah tinggi	<w>darah tinggi</w>	"get angry; lit. high blood pressure"	stevens_and_schmidgall-tellings_2004	226	high blood pressure	blood pressure	internal pressure for anger	darah				metonymy			
marah	mencacak			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01983597-v&lang=ind&lang2=eng	standing up right	muscular pressure	internal pressure for anger					metonymy			
marah	menegak			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01983597-v&lang=ind&lang2=eng	standing up right	muscular pressure	internal pressure for anger					metonymy			
marah	tegang			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01983597-v&lang=ind&lang2=eng	tense	muscular pressure	internal pressure for anger					metonymy			
angry	mérah telinga	<w>mérah telinga</w>	"angry; lit red ears"	stevens_and_schmidgall-tellings_2004	631	red ears	"metonymy; redness"	redness in the facial area for anger	telinga				metonymy			
anger	mérah padam	Air mukanya dan mendadak naik <w>mérah padam</w>	All of a sudden his face turned fiery red	stevens_and_schmidgall-tellings_2004	653		"metonymy; redness"	redness in the facial area for anger	muka				metonymy			
marah	mencela			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng		aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					duplicate			
marah	mengomél			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01136248-a&lang=ind&lang2=eng		aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					duplicate			
anger	menyembur	Darah <w>menyembur</w> ke mukanya	His face became red (in anger)	stevens_and_schmidgall-tellings_2004	905	"to spout; gush"	"metonymy; redness"	redness in the facial area for anger	"darah; muka"				metonymy			
marah	bergaduh			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01786906-v&lang=ind&lang2=eng	to quarrel	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	bersungut-sungut			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01136248-a&lang=ind&lang2=eng	to grumble, grouse	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	mencerca			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to reprimand, vilify	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	mencercai			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to reprimand, vilify	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	mendamprat			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to scold	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	menembis			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to scold	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	menengking			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to snarl at, scold	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	menggebos			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to snap at, scold, reprimand	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	menyegak			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to snarl/snap at	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	menyemprot			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	"to spray, squirt; to reprimand, scold"	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	merajuki			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to reprimand, rebuke, sulk over/toward	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
angry	gentus	<w>gentus</w>	"angry, hurtful, sharp words; lit push, shove"	stevens_and_schmidgall-tellings_2004	315	"angry, hurtful, sharp words; lit push, shove"	aggressive verbal behaviour	strong/aggressive verbal behaviour for anger					metonymy			
marah	merengus	<w>merengus</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01136248-a&lang=ind&lang2=eng	"surly; grumpy"	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	merengus	<w>merengus</w>		kamus_pusat_bahasa_2008	1293	bitter face	metonymy	aggressive visual behaviour for anger					metonymy			
marah	berteriak-teriak	<w>berteriak-teriak</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to shout, yell, scream	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	bertura-tura	<w>bertura-tura</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to grumble, nag, grouse, peevish	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	judes	<w>judes</w>	speaking in an angry tone	stevens_and_schmidgall-tellings_2004	427	sharp (tongued)	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	kereng	<w>kereng</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	harsh, stern, gruff, brusque	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	leja meleja	<w>leja meleja</w>	"to be angry at; lit use abusive language"	stevens_and_schmidgall-tellings_2004	569	use abusive language	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	meleja	<w>meleja</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	"to use abusive language; to be angry at"	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	memaki-maki	Bersabarlah, tidak perlu <w>memaki</w> seperti itu		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/memaki"	"to use abusive language; to curse"	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	memencak-mencak	<w>memencak-mencak</w>	"angry/furious; lit to make a martial art movement; to jump on/flare up at s.o."	stevens_and_schmidgall-tellings_2004	730	"to be very angry/furious; lit. jump up-and-down over someone"	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
marah	mencela	dengan terang-terangan ia <w>mencela</w> politik luar negeri kita		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/mencela"	to condemn	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	mencomél	Sejak pagi hari, Rahman <w>mencomél</w> karena ia kehilangan pensil kesayangannya		"tesaurus_kemdikbud; indonesian-dictionary"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; http://www.seasite.niu.edu/indodict/diction2.htm"	to grumble, nag, grouse	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy		Jakarta	
marah	mengata-ngatai	<w>mengata-ngatai</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to scold	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	menggerundel	Dia <w>menggerundel</w> berkepanjangan karena niatnya tidak tercapai		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/menggerundel"	to grumble, complain	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy		Javanese	
marah	menggerutu	Ia <w>menggerutu</w> melihat tingkah laku anak nakal itu		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/menggerutu"	to grumble, nag, grouse	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	menghardik(kan)	<w>menghardik(kan)</w>	to use sharp/harsh words (when angry), to scold	stevens_and_schmidgall-tellings_2004	350	to use sharp/harsh words (when angry), to scold	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	mengomél	"Ia berbalik ke belakang sambil <w>mengomél</w>; Jika saya mandi lebih dari lima gayung, ibu kos saya akan <w>mengomél</w> panjang."		"tesaurus_kemdikbud; kbbi; stevens_and_schmidgall-tellings_2004"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/mengomel; 678"	to grumble, nag, verbally harash s.b.	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	mengoméli	Jika aku tidak datang, dia pasti <w>mengoméli</w>ku		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/mengomeli"	"to be angry at; reprimand; rebuke; admonish"	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	mengumpat	<w>mengumpat</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to swear at, curse	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	menyembur			tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to reprimand	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	menyumpahi	ibunda Celine kemudian memberikan pesan menohok yang bahkan terkesan seperti <w>menyumpahi</w> putrinya.		"tesaurus_kemdikbud; makasar-terkini"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://makassar.terkini.id/tak-diakui-ibunda-celine-sumpahi-putrinya-tak-bisa-bahagia-berhenti-berbohong-dan-berkamuflase-akui-semuanya/"	to curse, swear	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	merenta-renta	<w>merenta-renta</w>	speaking in a loud and angry voice	stevens_and_schmidgall-tellings_2004	824	speaking in a loud and angry voice	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	merongséng	<w>merongséng</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to grumble, nag, grouse	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	merutuk	<w>merutuk</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to grumble, mutter, complain	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	ngedumel	<w>ngedumel</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to grumble, grouch	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
anger	ngelédék(-in)	Jangan <w>ngelédékin</w> saya, ya!	Don't make me mad, OK!	stevens_and_schmidgall-tellings_2004	568	to irritate, anger, annoy	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
angry	suara kumbang dijolok	<w>suara kumbang dijolok</w>	"angry sounds; lit voice of poked bee"	stevens_and_schmidgall-tellings_2004	960	"angry sounds; lit voice of poked bee"	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	menggerendeng	<w>menggerendeng</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to act as if wanting to attack	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
kemarahan	meluru			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng	to dash and chase in order to attack	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
anger	menggeragas	<w>menggeragas</w>	to tear at one's hair with one's fingers or a comb in anger or excitement	stevens_and_schmidgall-tellings_2004	316	to tear at one's hair with one's fingers or a comb in anger or excitement	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
anger	mendamik dada	<w>mendamik dada</w>	beat one's chest in anger	stevens_and_schmidgall-tellings_2004	223	beat one's chest in anger	violent frustated behaviour	violent frustated behaviour for anger	dada				metonymy	memukuli dengan telapak tangan		
anger	mengentakkan kaki	<w>mengentakkan kaki</w>	to stamp the feet (in anger)	stevens_and_schmidgall-tellings_2004	270	to stamp the feet (in anger)	violent frustated behaviour	violent frustated behaviour for anger	kaki				metonymy			
anger	berentak/merentak kaki	<w>berentak/merentak kaki</w>	to stamp one's feet (in anger)	stevens_and_schmidgall-tellings_2004	825	to stamp one's feet (in anger)	violent frustated behaviour	violent frustated behaviour for anger	kaki				metonymy			
anger	terbada	<t>amarah</t>nya tidak <w>terbada</w>	He could not hold his anger back	stevens_and_schmidgall-tellings_2004	72	"repressible; can (not) be kept in/held back"	fluid containment						no	tidak terkatakan lagi	Minangkabau	
angry	meremas	<w>meremas perut</w>	"to be angry; lit to knead/squeeze the belly/stomach"	stevens_and_schmidgall-tellings_2004	820	to knead, squeeze	"force application; harm"		perut				duplicate			
angry	salah	<w>salah terima</w>	"angry, annoyed; lit misunderstanding"	stevens_and_schmidgall-tellings_2004	860	wrong, mistaken, erronous	metonymy						duplicate			
marah	mencaci-maki	<w>mencaci-maki</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to jeer at, mock, abuse, scorn	"metonymy; verbal behaviour"						no			
marah	mencaci	<w>mencaci</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to insult	"metonymy; verbal behaviour"						no			
marah	mencemooh	<w>mencemooh</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to mock	"metonymy; verbal behaviour"						no			
anger	sepak terjang	<w>sepak terjang</w>	to kick and trample with the foot (out of anger)	stevens_and_schmidgall-tellings_2004	917	to kick and trample with the foot (out of anger)	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
anger	pemakan bawang	<w>pemakan bawang</w>	"hothead; s.o. quick to anger"	stevens_and_schmidgall-tellings_2004	608		heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
angry	bawang	<w>makan bawang</w>	to be angry (lit. eating onions)	stevens_and_schmidgall-tellings_2004	102	onions	heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
angry	membawang	<w>membawang</w>	to become angry	stevens_and_schmidgall-tellings_2004	102	to become onion	heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
angry	pembawang	<w>pembawang</w>	s.o. who gets angry easily	stevens_and_schmidgall-tellings_2004	102	hothead	heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
angry	naik pan	<w>naik pan</w>	"get angry; lit get on the toaster"	stevens_and_schmidgall-tellings_2004	653	"get angry; lit get on the toaster"	heat	anger is heat		anger_heat	intensity-of-anger_degree-of-the-heat		metaphor			
angry	naik pelak	<w>naik pelak</w>	"get angry; lit raising heat"	stevens_and_schmidgall-tellings_2004	653	"get angry; lit raising heat"	heat	anger is heat		anger_heat	intensity-of-anger_degree-of-the-heat		metaphor			
marah	kepiting rebus	<w>kepiting rebus</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	stewed crab	heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
marah	udang rebus	<w>udang rebus</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	stewed shrimp/prawn	heat	anger is heat		anger_heat	angry-person_heated-entity		metaphor			
anger	mengelus dada	<w>mengelus dada</w>	to hold in one's feeling of anger	stevens_and_schmidgall-tellings_2004	263	to caress, stroke	caressing the chest	caressing/punching the chest for anger	dada				metonymy	mengusap-usap dengan rasa sayang		
anger	menggenggamkan tangan	Anak itu <w>menggenggamkan tangannya</w> menahan <t>kemarahan</t>	The child clenched his fists trying to suppress his anger	stevens_and_schmidgall-tellings_2004	314	to clench fist	clenching fist	clenching fist for anger	tangan				metonymy			
anger	menggigit bibir	<w>menggigit bibir</w> saja	to restrain one's anger	stevens_and_schmidgall-tellings_2004	323	to bite/press together one's lips	lip/teeth biting/pressing	lip/teeth biting/pressing for anger	bibir				metonymy			
marah	menggertakkan gigi	Ia <w>menggertakkan gigi</w>nya	He bites his teeth	kamus_pusat_bahasa_2008	482	to bite the teeth	lip/teeth biting/pressing	lip/teeth biting/pressing for anger	gigi				metonymy			
anger	menggigit gigi	<w>menggigit gigi</w>	to hold back one's anger	stevens_and_schmidgall-tellings_2004	323	to bite/press together one's teeth	lip/teeth biting/pressing	lip/teeth biting/pressing for anger	gigi				metonymy			
anger	mengetap(kan) bibir	<w>mengetapkan bibir</w>	to bite/press together one's lips (from anger)	stevens_and_schmidgall-tellings_2004	495	to bite/press together one's lips	lip/teeth biting/pressing	lip/teeth biting/pressing for anger	bibir				metonymy			
marah	mata gelap	<w>mata gelap</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	dark eyes	visual interference	visual interference for anger	mata				metonymy			
angry	ambil	Jangan <w>ambil</w> <t>marah</t>	Don't get angry	stevens_and_schmidgall-tellings_2004	30	take	possession	anger is possession		anger_possessable-object	experiencer_possessor	becoming-angry_taking-object	metaphor			
anger	marah tiada sampai	<t>marah</t> yang tiada <w>sampai</w>	"short-lived anger; lit. anger not reaching end point of a scale"	stevens_and_schmidgall-tellings_2004	867	"short-lived anger; lit. anger not reaching end point of a scale"	scale	intensity of anger is verticality		anger_vertical-entity	less intensity of anger is lower on a scale		metaphor			
anger	perangsang	<w>membangkitkan perangsang</w>	"to annoy; irritate; anger"	stevens_and_schmidgall-tellings_2004	806	stimulus, spur							no			
marah	agresif	<w>agresif</w>	aggressive	kamus_pusat_bahasa_2008	19	aggressive	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
marah	angin-anginan	<w>angin-anginan</w>	easily angered	kamus_pusat_bahasa_2008	67	"unpredictable; windy"	natural disaster	anger is (destructive) natural force		anger_natural-disaster	intensity-of-anger_intensity-of-force		metaphor			
tempered	bingas	<w>bingas</w>	quick-tempered	stevens_and_schmidgall-tellings_2004	140	"wild; fierce (of animal)"	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
tempered	membingas	<w>membingas</w>	to become quick-tempered/wild/fierce	stevens_and_schmidgall-tellings_2004	140	to become wild/fierce	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
tempered	bludrékan	<w>bludrékan</w>	"hot-tempered; lit. (high) blood pressure, hypertension"	stevens_and_schmidgall-tellings_2004	145	(high) blood pressure, hypertension	blood pressure	internal pressure for anger					metonymy			
tempered	cepat darah	<w>cepat darah</w>	short/quick-tempered	stevens_and_schmidgall-tellings_2004	196	quick blood	blood pressure	internal pressure for anger	darah				metonymy			
tempered	sempit dada	<w>sempit dada</w>	short-tempered	stevens_and_schmidgall-tellings_2004	218	narrow chest	swollen chest	internal pressure for anger	dada				metonymy			
tempered	sempit kalang	<w>sempit kalang</w>	short/hot/quick-tempered	stevens_and_schmidgall-tellings_2004	440	"short/hot/quick-tempered; lit. narrow underlayer"	size	degree of control for anger is object dimension		anger_entity	narrow dimension of an entity is reduced capability of managing anger		metaphor			
tempered	pemanas hati	<w>pemanas hati</w>	hot/quick-tempered	stevens_and_schmidgall-tellings_2004	699	heater of the liver	"metonymy; heat"	body heat for anger	hati				metonymy			
tempered	merentan hati	<w>merentan hati</w>	"to make the liver fragile; quick-tempered"	stevens_and_schmidgall-tellings_2004	825	to make the liver fragile	harm	anger is physical contact/harm	hati	person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
tempered	singkat sungu	<w>singkat sungu</w>	short-tempered	stevens_and_schmidgall-tellings_2004	970	"short-tempered; lit. short horn (of animals)"	size	degree of control for anger is object dimension	sungu	anger_entity	narrow dimension of an entity is reduced capability of managing anger		metaphor			fierce animals
marah	membersut	<w>membersut</w>	to glare/glower/snarl	kamus_pusat_bahasa_2008	187	to glare/glower/snarl	metonymy	aggressive visual behaviour for anger					metonymy			
marah	mencair	<w>mencair</w>	to melt	kamus_pusat_bahasa_2008	250	to melt	liquid	anger is rough, solid entity		anger_entity	intensity-of-anger_degree-of-solidity/consistency-of-the-entity	reduced-anger_melting-ice	metaphor			
marah	mencolék	<w>mencolék</w>	to poke/touch	kamus_pusat_bahasa_2008	289	to poke/touch	contact	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
